Platform,BrandName,SuperCategory,SubCategory,variantid,ProductName,SellerName,Color,App_Image,App_Deeplink,Avg_Price,Price_Range,VariantSize,Datetime of FirstLiveDate,rank,Aging
Distribution,1 OAK,Footwear,eva full moulded sandals,2592684,1 OAK 618,HARI OM ENTERPRISES,White,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_5-88552ec4-d52e-42cf-a1fb-51e918cdc254.jpeg,https://bijnis.app.link/FpqejWHaYKb,118.28,112 - 124," 10, 7, 8,6","04 Jul, 2024 12:00:25",1,23
Distribution,1 OAK,Footwear,eva full moulded sandals,2592685,1 OAK 618,HARI OM ENTERPRISES,Grey,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-60b936a8-b58d-49ed-9403-5f08b85d1061.jpeg,https://bijnis.app.link/mwc21UHaYKb,118.28,112 - 124," 10, 7, 8,6","04 Jul, 2024 12:00:25",2,23
Distribution,1 OAK,Footwear,eva full moulded sandals,2596349,1 OAK 623,HARI OM ENTERPRISES,Multicolor,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-beccf15f-22f0-46a1-85ee-b96119798933.jpeg,https://bijnis.app.link/IIszdUet6Kb,89.70,85 - 94," 7, 8, 9,6","09 Jul, 2024 21:00:24",3,18
Distribution,1 OAK,Footwear,eva full moulded sandals,2596350,1 OAK 623,HARI OM ENTERPRISES,White,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-8f8f7a33-60df-4d5c-98fb-ad4556eb43df.jpeg,https://bijnis.app.link/TTbFhTet6Kb,89.70,85 - 94," 7, 8, 9,6","09 Jul, 2024 21:00:24",2,18
Distribution,1 OAK,Footwear,eva full moulded sandals,2596351,1 OAK 623,HARI OM ENTERPRISES,Grey,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-2ca1af96-88b7-4f52-b165-4bde9d8803f7.jpeg,https://bijnis.app.link/oDvHLRet6Kb,89.70,85 - 94," 7, 8, 9,6","09 Jul, 2024 21:00:24",1,18
Distribution,1 OAK,Footwear,eva full moulded sandals,2598459,1 OAK 624,HARI OM ENTERPRISES,Multicolor,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_4-d94052be-cde7-405a-a3b3-29fb1cbb200f.jpeg,https://bijnis.app.link/uy4SoDEqgLb,72.88,69 - 77," 25, 26, 27, 28, 29,24","15 Jul, 2024 21:00:24",1,12
Distribution,1 OAK,Footwear,eva full moulded slippers,2595599,1 OAK 619,HARI OM ENTERPRISES,Multicolor,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-6d201fb9-9ae7-4975-acc3-23fdc14cc7f6.jpeg,https://bijnis.app.link/TvSPc6777Kb,61.95,59 - 65," 7, 8, 9,6","09 Jul, 2024 18:00:23",1,18
Distribution,1 OAK,Footwear,eva full moulded slippers,2596332,1 OAK 621,HARI OM ENTERPRISES,Multicolor,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_3-875507ee-d13b-4815-8871-5f621b983271.jpeg,https://bijnis.app.link/IMcVvQet6Kb,79.89,76 - 84," 7, 8, 9,6","09 Jul, 2024 21:00:24",1,18
Distribution,1 OAK,Footwear,eva moulded slippers,2596325,1 OAK 620,HARI OM ENTERPRISES,Multicolor,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-e881130e-9d80-43f1-8f8d-32bcb732a002.jpeg,https://bijnis.app.link/g5RPiVet6Kb,117.73,112 - 124," 7, 8, 9,6","09 Jul, 2024 21:00:24",1,18
Distribution,1 OAK,Footwear,hawaii slippers,2596338,1 OAK 622,HARI OM ENTERPRISES,Multicolor,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-f45a3f99-b872-43c2-91f0-6ffca7e4b423.jpeg,https://bijnis.app.link/zwfwASet6Kb,57.46,55 - 60," 7, 8, 9,6","09 Jul, 2024 21:00:24",1,18
